"","station","gx","gy","ma","agb.dead.yr","SOC","litter"
"1",202,20,20,0,0,33.6871439,511.36
"2",204,20,60,0.0315597874172574,0.507948745933204,30.75590186,263.36
"3",206,20,100,0.0387926694246167,0.69058465183815,36.80730503,301.2
"4",208,20,140,0.0737382810843932,0.967822902151464,45.79970795,395.72
"5",210,20,180,0.0216030954411967,0.368180173003572,67.55475982,345.08
"6",212,20,220,0.0410766230504966,1.63846842741757,48.58108495,429
"7",214,20,260,0.0219995286769676,1.51464423925989,26.4308696,337.76
"8",216,20,300,0.0208516376390232,0.827458489663479,70.79317459,298.04
"9",218,20,340,0.0107551891343143,0.210857069667015,129.2987905,217.8
"10",303,40,40,0,0,43.48054095,679.04
"11",305,40,80,0.00699369346208623,0.088044820127182,36.34824939,605.52
"12",307,40,120,0.0275653352035979,1.23246873546844,68.20646334,417.84
"13",309,40,160,0.0247219104405273,0.190779150019703,55.2509737,660.76
"14",311,40,200,0.0147122952622987,0.91149604969021,67.45784997,376.84
"15",313,40,240,0.0282144910993144,0.989406002143227,62.91244025,737.4
"16",315,40,280,0.0406774041873469,1.08758424317009,60.75201269,309.2
"17",317,40,320,0.0342697010924901,0.70854595444498,84.52228458,191.76
"18",402,60,20,0.0216030954411967,0.565762275822473,62.73000215,675.4
"19",404,60,60,0.00971057771313766,0.204942568795704,70.43207539,568.96
"20",406,60,100,0.0247219104405273,0.30533275399,46.2779998,825.72
"21",408,60,140,0.00751965048742709,0.10002451724693,66.60299218,482.76
"22",410,60,180,0.0107551891343143,0.190434900648475,49.97258833,476.52
"23",412,60,220,0.0303597339044209,0.398469745559898,80.80497116,594.12
"24",414,60,260,0.00847579903530127,0.16836014660408,54.84917146,434.28
"25",416,60,300,0.017251730343854,0.238795050608709,96.04440695,380.76
"26",418,60,340,0.0345665748955821,1.00555757634454,72.58160031,196.5866667
"27",503,80,40,0.00724714074027155,0.0482602401212033,25.39368205,481.32
"28",505,80,80,0.0152743536457409,0.511308983763497,100.227637,395.4
"29",507,80,120,0.0358074959973728,0.132579726909596,70.9525167,533.84
"30",509,80,160,0.00926085481092964,0.556309947628314,48.28604013,764
"31",511,80,200,0.0107551891343143,0.0583424634159217,25.75263746,519.84
"32",513,80,240,0.0104735134591291,0.522566717795728,40.46591287,378.84
"33",515,80,280,0.0303597339044209,0.900066431200637,47.50942272,758
"34",517,80,320,0.0288950138320514,0.657741545405329,71.95886646,241.1
"35",602,100,20,0.0456482551889928,0.710134536771033,30.56181918,236.04
"36",604,100,60,0.00699369346208623,0.0933133073564541,28.81487767,137.76
"37",608,100,140,0.0132497142969102,0.279873228715508,55.18577604,259.56
"38",610,100,180,0.00699369346208623,0.039963237398995,71.10887074,342.72
"39",612,100,220,0.0124262203185035,0.116696117739725,21.80505928,173.4133333
"40",614,100,260,0.00813116071743369,0.205996356735587,74.58148513,291.82
"41",618,100,340,0.0247219104405273,1.12770870468092,37.73908575,164.54
"42",703,120,40,0.0137038103409706,0.119337654761326,51.29192072,681.54
"43",705,120,80,0.018305053525846,0.284719477343737,41.88954364,408.14
"44",707,120,120,0,0,60.76537512,501.8666668
"45",709,120,160,0.0188815042737357,0.425552925540709,114.2765857,306.38
"46",711,120,200,0.0288950138320514,1.16926330020145,33.46550597,347.1733333
"47",713,120,240,0.0303597339044209,1.81127374164411,62.22555258,449.76
"48",715,120,280,0.00492634806525849,0.0936169685477543,64.82861881,396.04
"49",717,120,320,0.00458734946786798,0.153234071216747,80.44711024,315.78
"50",802,140,20,0.0413812366370623,1.07186003575033,36.58763672,408.72
"51",804,140,60,0.0263528193848319,0.464400589898401,41.64828882,270.8933333
"52",806,140,100,0.0256752632795412,0.871769114916384,51.23858252,330.0133333
"53",808,140,140,0.0137038103409706,0.718421190445269,34.37479459,376.0666667
"54",810,140,180,0.0140242445183267,0.348769762621373,61.42252549,335.44
"55",812,140,220,0.0180298376299209,0.682113021510234,40.55111116,380.0666667
"56",814,140,260,0.0137038103409706,0.913056376478821,56.03265242,387.0533333
"57",816,140,300,0.00699369346208623,0.0518368175457965,63.94304421,397.94
