"plot","census","dominant_PFT","acom","bcom","ccom","minDBHcom","maxDBHcom","maxDBHdead","pattern","nb_trees","nb_deaths"
"T0101","2010-2015","EB-tree",-3.34818851081169,-0.0383652195492832,-0.452419950598744,0.999493043,59,14.8,"Declined",297,29
"T0102","2010-2015","EB-tree",-3.34110573135391,0.0423991385015057,-0.866848847221618,0.999493043,40.39989075,18.2,"U-shaped",258,25
"T0103","2010-2015","EB-tree",-4.25101554954562,0.00719193483653481,-0.154733365924549,0.999493043,38.6014399,20.10126931,"U-shaped",219,14
"T0104","2010-2015","EB-tree",-4.4555634335357,0.00145236018866698,0.163848871073391,1.101352206,49.70090563,32.3,"Increased",242,18
"T0105","2010-2015","EB-tree",-3.31152050502076,0.020273433570945,-0.534258834612284,0.999493043,40.49856682,15.9,"U-shaped",358,43
"T0106","2010-2015","EB-tree",-3.55858137079288,0.120280160671448,-1.1888903226098,0.999493043,34.19921417,25.9,"U-shaped",368,29
"T0107","2010-2015","EB-tree",-3.2891169071715,-0.0486657666399657,-0.10288907222194,0.999493043,43.59890511,29.5,"Declined",263,33
"T0108","2010-2015","EB-tree",-4.38151274903657,0.0234621161550528,0.174770712730637,0.999493043,33.90000288,30.9,"Increased",162,16
"T0109","2010-2015","EB-tree",-2.81000732811147,0.0453281323965992,-1.19296940221716,0.999493043,47.69873644,24.2,"U-shaped",248,30
"T0110","2010-2015","EB-tree",-3.56933611693291,0.0633811048645701,-0.322244151154408,0.999493043,43.4,37.6,"U-shaped",205,27
"T0111","2010-2015","EB-tree",-3.74438758130947,-0.139507298099551,0.627845998068477,0.999493043,33.40025636,21.7,"Unimodal",280,34
"T0112","2010-2015","EB-tree",-3.09831079425542,-0.0175998697230821,0.0871402793548885,1,34.89949592,31.5,"Unimodal",243,50
"T0113","2010-2015","EB-tree",-5.16538038979151,-0.689291347208825,3.51850160510735,1.101352206,22.69867798,9.1,"Unimodal",156,17
"T0114","2010-2015","EB-tree",-3.15197383565175,0.175331746458345,-1.38986848144842,0.999493043,36.3,36.3,"U-shaped",445,56
"T0115","2010-2015","EB-tree",-3.54800019277314,-0.00703576300150215,-0.172370322459704,0.999493043,38.20036944,27.1,"Declined",367,42
"T0116","2010-2015","EB-tree",-3.18924464993072,0.149061526797372,-1.06407283665859,0.999493043,36.39873549,26.6,"U-shaped",355,47
"T0117","2010-2015","EB-tree",-3.53415989248101,-0.0675813511291463,0.265130358608144,0.999493043,27.49879107,19.6,"Unimodal",491,67
"T0118","2010-2015","EB-tree",-3.03499772872318,0.0502408824313337,-0.688324011201175,0.999493043,28.5,28.5,"U-shaped",447,54
"T0119","2010-2015","EB-tree",-3.87287691080677,-0.0910329250172166,0.694794220661044,1.1,21.8010441,17.6,"Unimodal",432,65
